 name Fire Water Grass Electric Psychic Steel Normal Fairy Dark Flying Ghost Poison Ice Ground Rock Dragon Fighting Bug
43 Ninetales 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
44 Jigglypuff 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
45 Wigglytuff 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
46 Zubat 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
47 Golbat 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
48 Oddish 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49 Gloom 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
50 Vileplume 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
51 Paras 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
52 Parasect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
53 Venonat 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
54 Venomoth 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
55 Diglett 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
56 Dugtrio 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
57 Meowth 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
58 Persian 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
59 Psyduck 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
60 Golduck 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
61 Mankey 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
62 Primeape 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
63 Growlithe 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
64 Arcanine 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65 Poliwag 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
66 Poliwhirl 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
67 Poliwrath 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
68 Abra 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
69 Kadabra 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
70 Alakazam 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
71 "AlakazamMega Alakazam" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
72 Machop 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
73 Machoke 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
74 Machamp 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
75 Bellsprout 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 Weepinbell 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
77 Victreebel 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
78 Tentacool 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
79 Tentacruel 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
80 Geodude 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
81 Graveler 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
82 Golem 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
83 Ponyta 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
84 Rapidash 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
85 Slowpoke 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
86 Slowbro 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
87 "SlowbroMega Slowbro" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
88 Magnemite 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
89 Magneton 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
90 Farfetchd 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
91 Doduo 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
92 Dodrio 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
93 Seel 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
94 Dewgong 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
95 Grimer 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
96 Muk 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
97 Shellder 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
98 Cloyster 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
99 Gastly 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
100 Haunter 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
101 Gengar 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
102 "GengarMega Gengar" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
103 Onix 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
104 Drowzee 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
105 Hypno 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
106 Krabby 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
107 Kingler 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108 Voltorb 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109 Electrode 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
110 Exeggcute 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
111 Exeggutor 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
112 Cubone 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
113 Marowak 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
114 Hitmonlee 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
115 Hitmonchan 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
116 Lickitung 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
117 Koffing 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
118 Weezing 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
119 Rhyhorn 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
120 Rhydon 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
121 Chansey 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
122 Tangela 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
123 Kangaskhan 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
124 "KangaskhanMega Kangaskhan" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
125 Horsea 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
126 Seadra 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
127 Goldeen 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
128 Seaking 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
129 Staryu 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
130 Starmie 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131 "MrMime" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
132 Scyther 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
133 Jynx 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
134 Electabuzz 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
135 Magmar 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
136 Pinsir 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
137 "PinsirMega Pinsir" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
138 Tauros 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
139 Magikarp 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
140 Gyarados 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
141 "GyaradosMega Gyarados" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
142 Lapras 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
143 Ditto 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
144 Eevee 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
145 Vaporeon 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
146 Jolteon 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
147 Flareon 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
148 Porygon 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
149 Omanyte 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
150 Omastar 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
151 Kabuto 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
152 Kabutops 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
153 Aerodactyl 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
154 "AerodactylMega Aerodactyl" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
155 Snorlax 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
156 Articuno 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
157 Zapdos 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
158 Moltres 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
159 Dratini 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
160 Dragonair 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
161 Dragonite 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
162 Mewtwo 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
163 "MewtwoMega Mewtwo X" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
164 "MewtwoMega Mewtwo Y" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
165 Mew 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
166 Chikorita 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
167 Bayleef 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
168 Meganium 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
169 Cyndaquil 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
170 Quilava 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
171 Typhlosion 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
172 Totodile 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
173 Croconaw 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
174 Feraligatr 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
175 Sentret 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
176 Furret 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
177 Hoothoot 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
178 Noctowl 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
179 Ledyba 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
180 Ledian 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
181 Spinarak 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
182 Ariados 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
183 Crobat 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
184 Chinchou 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
185 Lanturn 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
186 Pichu 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
187 Cleffa 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
188 Igglybuff 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
189 Togepi 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
190 Togetic 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
191 Natu 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
192 Xatu 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
193 Mareep 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
194 Flaaffy 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
195 Ampharos 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
196 "AmpharosMega Ampharos" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
197 Bellossom 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
198 Marill 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
199 Azumarill 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200 Sudowoodo 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
201 Politoed 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
202 Hoppip 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
203 Skiploom 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
204 Jumpluff 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
205 Aipom 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
206 Sunkern 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
207 Sunflora 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
208 Yanma 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
209 Wooper 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
210 Quagsire 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
211 Espeon 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
212 Umbreon 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
213 Murkrow 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
214 Slowking 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
215 Misdreavus 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
216 Unown 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
217 Wobbuffet 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
218 Girafarig 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
219 Pineco 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
220 Forretress 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
221 Dunsparce 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
222 Gligar 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
223 Steelix 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
224 "SteelixMega Steelix" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
225 Snubbull 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
226 Granbull 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
227 Qwilfish 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
228 Scizor 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
229 "ScizorMega Scizor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
230 Shuckle 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
231 Heracross 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
232 "HeracrossMega Heracross" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
233 Sneasel 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
234 Teddiursa 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
235 Ursaring 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
236 Slugma 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
237 Magcargo 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
238 Swinub 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
239 Piloswine 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
240 Corsola 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
241 Remoraid 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
242 Octillery 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
243 Delibird 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
244 Mantine 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
245 Skarmory 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
246 Houndour 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
247 Houndoom 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
248 "HoundoomMega Houndoom" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
249 Kingdra 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
250 Phanpy 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
251 Donphan 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
252 Porygon2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
253 Stantler 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
254 Smeargle 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
255 Tyrogue 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
256 Hitmontop 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
257 Smoochum 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
258 Elekid 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
259 Magby 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
260 Miltank 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
261 Blissey 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
262 Raikou 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
263 Entei 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
264 Suicune 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
265 Larvitar 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
266 Pupitar 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
267 Tyranitar 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
268 "TyranitarMega Tyranitar" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
269 Lugia 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
270 Ho-oh 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
271 Celebi 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
272 Treecko 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
273 Grovyle 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
274 Sceptile 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
275 "SceptileMega Sceptile" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
276 Torchic 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
277 Combusken 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
278 Blaziken 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
279 "BlazikenMega Blaziken" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
280 Mudkip 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
281 Marshtomp 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
282 Swampert 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
283 "SwampertMega Swampert" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
284 Poochyena 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
285 Mightyena 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
286 Zigzagoon 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
287 Linoone 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
288 Wurmple 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
289 Silcoon 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
290 Beautifly 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
291 Cascoon 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
292 Dustox 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
293 Lotad 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
294 Lombre 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
295 Ludicolo 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
296 Seedot 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
297 Nuzleaf 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
298 Shiftry 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
299 Taillow 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
300 Swellow 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
301 Wingull 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
302 Pelipper 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
303 Ralts 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
304 Kirlia 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
305 Gardevoir 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
306 "GardevoirMega Gardevoir" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
307 Surskit 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
308 Masquerain 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
309 Shroomish 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
310 Breloom 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
311 Slakoth 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
